Change Physical Footprint: Designator=C1 Old Footprint=CAP_TH_2.5MM_6.3*12MM New Footprint=CAP_TH_2.5MM_6.3*12MM
Change Physical Footprint: Designator=C2 Old Footprint=CAP_TH_2.5MM_6.3*12MM New Footprint=CAP_TH_2.5MM_6.3*12MM
Change Physical Footprint: Designator=C3 Old Footprint=CAP_TH_2.5MM_6.3*12MM New Footprint=CAP_TH_2.5MM_6.3*12MM
Change Physical Footprint: Designator=Cp1 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp2 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp3 Old Footprint=Capacitor_0603 New Footprint=Capacitor_0603
Change Physical Footprint: Designator=Cp4 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp5 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp6 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp7 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp8 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp9 Old Footprint=Capacitor_0603 New Footprint=Capacitor_0603
Change Physical Footprint: Designator=Cp10 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp11 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=Cp12 Old Footprint=Capacitor_0805 New Footprint=Capacitor_0805
Change Physical Footprint: Designator=D1 Old Footprint=SMA New Footprint=SMA
Change Physical Footprint: Designator=D2 Old Footprint=SMA New Footprint=SMA
Change Physical Footprint: Designator=F1 Old Footprint=FUS_RES_120V_3A New Footprint=FUS_RES_120V_3A
Change Physical Footprint: Designator=IC1 Old Footprint=IC_TPS54308DDCR New Footprint=IC_TPS54308DDCR
Change Physical Footprint: Designator=IC2 Old Footprint=IC_TPS54308DDCR New Footprint=IC_TPS54308DDCR
Change Physical Footprint: Designator=J1 Old Footprint=CON_POWER_BARREL_2.1MM_3CONN New Footprint=CON_POWER_BARREL_2.1MM_3CONN
Change Physical Footprint: Designator=L1 Old Footprint=Inductor_10uh_3.1A New Footprint=Inductor_10uh_3.1A
Change Physical Footprint: Designator=L2 Old Footprint=Inductor_10uh_3.1A New Footprint=Inductor_10uh_3.1A
Change Physical Footprint: Designator=R1 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R2 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R3 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R4 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R5 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R6 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R7 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R8 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R9 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R10 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R11 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=R12 Old Footprint=0603_resistor New Footprint=0603_resistor
Change Physical Footprint: Designator=VOUT3.3V Old Footprint=TERM_BLK_2POS New Footprint=TERM_BLK_2POS
Change Physical Footprint: Designator=VOUT5V Old Footprint=TERM_BLK_2POS New Footprint=TERM_BLK_2POS
